Number,N,D,RQ,RD,error,numBits,RREM
1,1.132272720336914,1.611928939819336,0.702432632446289,0.702430725097656,"0.000001907348633
","-19.000000000000000
","2.257759094238281
"
2,1.562774658203125,1.388216018676758,1.125741958618164,1.125749588012695,"0.000007629394531
","-17.000000000000000
","-4.693895339965820
"
3,1.664722442626953,1.773998260498047,0.938400268554688,0.938400268554688,"0.000000000000000
","-inf
","1.047821044921875
"
4,1.242624282836914,1.995895385742188,0.622589111328125,0.622583389282227,"0.000005722045898
","-17.415037499278846
","6.799453735351562
"
5,1.138618469238281,1.890085220336914,0.602415084838867,0.602413177490234,"0.000001907348633
","-19.000000000000000
","3.264179229736328
"
6,1.260677337646484,1.858591079711914,0.678297042846680,0.678295135498047,"0.000001907348633
","-19.000000000000000
","2.123050689697266
"
7,1.364307403564453,1.444120407104492,0.944730758666992,0.944730758666992,"0.000000000000000
","-inf
","1.277036666870117
"
8,1.550083160400391,1.109811782836914,1.396707534790039,1.396715164184570,"0.000007629394531
","-17.000000000000000
","-4.082147598266602
"
9,1.682773590087891,1.091047286987305,1.542346954345703,1.542348861694336,"0.000001907348633
","-19.000000000000000
","-1.022912979125977
"
10,1.326347351074219,1.454936981201172,0.911617279052734,0.911617279052734,"0.000000000000000
","-inf
","0.869834899902344
"
11,1.026857376098633,1.332735061645508,0.770488739013672,0.770486831665039,"0.000001907348633
","-19.000000000000000
","1.342702865600586
"
12,1.147775650024414,1.926460266113281,0.595794677734375,0.595792770385742,"0.000001907348633
","-19.000000000000000
","2.386054992675781
"
13,1.464334487915039,1.083539962768555,1.351434707641602,1.351434707641602,"0.000000000000000
","-inf
","0.511240005493164
"
14,1.212709426879883,1.148721694946289,1.055702209472656,1.055706024169922,"0.000003814697266
","-18.000000000000000
","-1.565822601318359
"
15,1.680732727050781,1.041824340820312,1.613258361816406,1.613258361816406,"0.000000000000000
","-inf
","0.470642089843750
"
16,1.666519165039062,1.475320816040039,1.129596710205078,1.129602432250977,"0.000005722045898
","-17.415037499278846
","-3.574129104614258
"
17,1.915164947509766,1.433164596557617,1.336317062377930,1.336322784423828,"0.000005722045898
","-17.415037499278846
","-2.913311004638672
"
18,1.221788406372070,1.195667266845703,1.021844863891602,1.021850585937500,"0.000005722045898
","-17.415037499278846
","-2.564208984375000
"
19,1.030389785766602,1.600154876708984,0.643930435180664,0.643928527832031,"0.000001907348633
","-19.000000000000000
","2.313003540039062
"
20,1.249845504760742,1.017377853393555,1.228496551513672,1.228500366210938,"0.000003814697266
","-18.000000000000000
","-1.866836547851562
"
21,1.129701614379883,1.764043807983398,0.640403747558594,0.640401840209961,"0.000001907348633
","-19.000000000000000
","2.471250534057617
"
22,1.916500091552734,1.868928909301758,1.025453567504883,1.025453567504883,"0.000000000000000
","-inf
","0.143705368041992
"
23,1.367136001586914,1.128765106201172,1.211177825927734,1.211181640625000,"0.000003814697266
","-18.000000000000000
","-1.872558593750000
"
24,1.727743148803711,1.878789901733398,0.919603347778320,0.919601440429688,"0.000001907348633
","-19.000000000000000
","2.751937866210938
"
25,1.251779556274414,1.580638885498047,0.791944503784180,0.791942596435547,"0.000001907348633
","-19.000000000000000
","2.250907897949219
"
26,1.692230224609375,1.706201553344727,0.991809844970703,0.991809844970703,"0.000000000000000
","-inf
","1.429470062255859
"
27,1.253223419189453,1.005733489990234,1.246078491210938,1.246078491210938,"0.000000000000000
","-inf
","0.288055419921875
"
28,1.902976989746094,1.962244033813477,0.969795227050781,0.969795227050781,"0.000000000000000
","-inf
","1.096519470214844
"
29,1.393157958984375,1.104919433593750,1.260868072509766,1.260869979858398,"0.000001907348633
","-19.000000000000000
","-0.935852050781250
"
30,1.408168792724609,1.675434112548828,0.840478897094727,0.840480804443359,"0.000001907348633
","-19.000000000000000
","-0.743431091308594
"
